Unnamed: 0,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferredOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromLastYear,OrderCount,DaySinceLastOrder,CashbackAmount
1230,12,Desktop,0,0,Pay Now,Male,0,1,Beauty & Fitness,4,0,1.0,0,0.0,1,55.0,0.0
1755,4,Desktop,0,0,Installment,Female,0,1,Electronics,1,0,1.0,0,0.0,1,143.0,0.0
1412,12,Desktop,0,0,Pay Now,Female,0,1,Electronics,1,0,1.0,0,0.0,1,121.0,0.0
568,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
1326,12,Desktop,0,0,Pay Now,Female,0,1,Home Appliances,3,0,2.0,0,0.0,1,77.0,0.0
900,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0.0,0,0.0,0,0.0,0.0
1986,3,Desktop,0,0,Installment,Female,0,1,Electronics,1,0,2.0,1,0.0,1,107.0,0.0
222,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
1301,12,Desktop,0,0,Pay Now,Female,0,1,Electronics,5,0,1.0,1,0.0,2,166.0,0.0
953,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
2205,1,Desktop,0,0,Mips,Female,0,1,Home Appliances,4,0,1.0,0,0.0,1,57.0,0.0
483,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
578,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
1345,12,Desktop,0,0,Pay Now,Male,0,1,Home Appliances,4,0,2.0,1,0.0,3,160.0,0.0
1308,12,Desktop,0,0,Pay Now,Female,0,1,Electronics,3,0,2.0,1,0.0,1,35.0,0.0
1128,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
749,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
1366,12,Desktop,0,0,Pay Now,Female,0,1,Electronics,2,0,2.0,0,0.0,1,46.0,0.0
861,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,0,0.0,0,0.0,0.0
2026,3,Desktop,0,0,Pay on Delivery,Female,0,1,Electronics,4,0,1.0,1,0.0,1,99.0,0.0
364,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
2086,2,Desktop,0,0,Installment,Male,0,1,Home Appliances,4,0,1.0,1,0.0,1,86.0,0.0
246,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,1.0,1,0.0,0,0.0,0.0
1842,4,Desktop,0,0,Installment,Female,0,1,Electronics,4,0,1.0,1,0.0,2,125.0,0.0
106,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,1,0.0,0,0.0,0.0
1176,12,Desktop,0,0,Installment,Male,0,1,Home Appliances,5,0,2.0,1,0.0,6,162.0,0.0
1575,5,Desktop,0,0,Bank Transfer Payment,Male,0,1,Home Appliances,1,0,1.0,0,0.0,1,179.0,0.0
788,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
1094,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0.0,0,0.0,0,0.0,0.0
2107,2,Desktop,0,0,Bank Transfer Payment,Female,0,1,Electronics,5,0,1.0,0,0.0,1,82.0,0.0
712,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
451,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,0,0.0,0,0.0,0.0
974,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
2042,3,Desktop,0,0,Mips,Female,0,1,Beauty & Fitness,1,0,1.0,1,0.0,1,36.0,0.0
1540,6,Desktop,0,0,Installment,Male,0,1,Electronics,5,0,1.0,1,0.0,1,166.0,0.0
1244,12,Desktop,0,0,Installment,Female,0,1,Home Appliances,2,0,2.0,1,0.0,2,119.0,0.0
2222,1,Desktop,0,0,Pay on Delivery,Female,0,1,Electronics,5,0,1.0,1,0.0,3,54.0,0.0
1309,12,Desktop,0,0,Installment,Female,0,1,Electronics,4,0,1.0,0,0.0,2,150.0,0.0
172,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
