Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferredOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromLastYear,OrderCount,DaySinceLastOrder,CashbackAmount
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,Payment by installment (Hire Purchase by CIM Finance),Male,0,1,Mobile,5,0,2,1,-100.0,1,280,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,Mips POP,Female,0,1,Home Appliances,4,0,1,1,0.0,1,212,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,1,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,Pay Now,Male,0,1,Small Appliances,2,0,2,0,0.0,1,250,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,Bank Transfer Payment,Male,0,1,Home Appliances,4,0,1,0,0.0,1,256,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,Payment by installment (Hire Purchase by CIM Finance),Male,0,1,Home Appliances,1,0,1,0,-100.0,1,306,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,2,0,0,0,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0,1,0.0,0,0,0.0
1,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0,0,0.0,0,0,0.0
